model	fraud_prop	normalized	time	accuracy	precision	recall	F1
gaussian	1	0	9.5	0.6731998295696634	0.8552188552188552	0.6306641837368094	0.7259735619864237
gaussian	1	1	8.2	0.4989700973080474	1.0	0.4989700973080474	0.6657505686125853
gaussian	2	0	14.5	0.6227272727272727	0.8582995951417004	0.4789877993673746	0.6148491879350347
gaussian	2	1	12.5	0.3304133718452578	1.0	0.3304133718452578	0.4967078335765384
gaussian	3	0	19.7	0.5843630166169578	0.8825531914893617	0.363859649122807	0.5152795031055901
gaussian	3	1	17.2	0.2499467291711059	1.0	0.2499467291711059	0.39993181043300374
gaussian	4	0	25.0	0.7220044315663883	0.6045939294503692	0.39077412513255566	0.4747181964573268
gaussian	4	1	21.8	0.16651514290584693	0.4997140406062339	0.11914908123955954	0.1924188620034685
