fraud_prop	normalized	x	y	z	a	time	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	256	64	2			1.5	0.053
1	0	256	256	2			2.3	0.053
1	0	512	64	2			3.5	0.053
1	1	256	64	2			8.6	0.501
1	1	256	256	2			12.5	0.501
1	1	512	64	2			14.4	0.501
2	0	256	64	2			2.3	0.947
2	0	256	256	2			4.9	0.947
2	0	512	64	2			4.5	0.947
2	1	256	64	2			10.7	0.67
2	1	256	256	2			19.8	0.67
2	1	512	64	2			17.6	0.67
3	0	256	64	2			4.4	0.952
3	0	256	256	2			5.2	0.952
3	0	512	64	2			5.4	0.952
3	1	256	64	2			14.5	0.75
3	1	256	256	2			21.6	0.75
3	1	512	64	2			24.3	0.75
4	0	256	64	2			3.2	0.953
4	0	256	256	2			5.1	0.953
4	0	512	64	2			5.6	0.953
4	1	256	64	2			17.8	0.801
4	1	256	256	2			36.2	0.801
4	1	512	64	2			26.6	0.801
